O que são variáveis em Python?|Variáveis são identificadores que armazenam valores na memória.
Como você declara uma variável em Python?|Você pode declarar uma variável usando o sinal de igual (=), como em x = 5.
O que são tipos de dados em Python?|Tipos de dados em Python são as categorias nas quais os valores podem ser classificados, como int, float, string e list.
Como você comenta uma linha em Python?|Usando o símbolo de hash (#) antes do texto do comentário.
O que é uma lista em Python?|Uma lista em Python é uma coleção ordenada de itens que podem ser de diferentes tipos.
Como você acessa elementos em uma lista?|Usando índices, começando de 0, como em my_list[0] para o primeiro elemento.
O que são loops em Python?|Loops são estruturas de controle que repetem um bloco de código várias vezes.
Como você escreve um loop for em Python?|Usando a palavra-chave "for", como em for i in range(5):.
O que é uma função em Python?|Uma função é um bloco de código reutilizável que executa uma tarefa específica.
Como você define uma função em Python?|Usando a palavra-chave "def", seguida pelo nome da função e parênteses.
O que é uma string em Python?|Uma string é uma sequência de caracteres.
Como você pode cortar uma string?|Usando slicing, como em my_string[1:4].
O que é um dicionário em Python?|Um dicionário é uma coleção não ordenada de pares chave-valor.
Como você adiciona um elemento a uma lista?|Usando o método append(), como em my_list.append('new_item').
Como você remove um elemento de uma lista?|Usando o método remove(), como em my_list.remove('item_to_remove').
O que é uma tupla em Python?|Uma tupla é uma coleção ordenada e imutável de itens.
Como você acessa elementos em um dicionário?|Usando chaves, como em my_dict['key'].
O que é um conjunto em Python?|Um conjunto é uma coleção não ordenada de itens únicos.
Como você verifica se uma lista está vazia?|Usando a função len(), como em if len(my_list) == 0:.
Como você inverte uma string?|Usando slicing, como em my_string[::-1].
O que é a instrução if?|A instrução if é usada para testar uma condição e executar um bloco de código se a condição for verdadeira.
O que é a instrução else?|A instrução else é usada para executar um bloco de código se a condição da instrução if for falsa.
O que são operadores em Python?|Operadores são símbolos especiais que representam operações aritméticas ou lógicas.
O que é uma expressão em Python?|Uma expressão é uma combinação de valores e operadores que pode ser avaliada.
O que é a biblioteca padrão em Python?|É uma coleção de módulos e pacotes que fornecem funcionalidades úteis.
Como você importa um módulo em Python?|Usando a palavra-chave "import", como em import math.
O que é a recursão em Python?|Recursão é uma técnica onde uma função chama a si mesma.
O que é PEP 8?|PEP 8 é o guia de estilo para a codificação em Python.
Como você lê um arquivo em Python?|Usando a função open() e o método read(), como em f = open('file.txt', 'r'); content = f.read().
O que é inteligência artificial?|A inteligência artificial é a simulação de processos de inteligência humana por sistemas computacionais.
O que é uma rede neural?|Uma rede neural é um modelo computacional inspirado no funcionamento do cérebro humano, utilizado em aprendizado de máquina.
O que é aprendizado de máquina?|Aprendizado de máquina é uma área da inteligência artificial que se concentra em criar sistemas que aprendem com dados.
O que é um banco de dados relacional?|Um banco de dados relacional organiza dados em tabelas e usa SQL para gerenciar e consultar esses dados.
O que é SQL?|SQL é uma linguagem usada para gerenciar e consultar dados em bancos de dados relacionais.
Como você cria uma tabela em SQL?|Usando o comando CREATE TABLE, seguido pela definição das colunas e tipos de dados.
O que é um JOIN em SQL?|JOIN é uma operação que combina registros de duas ou mais tabelas com base em uma coluna relacionada.
O que é um servidor web?|Um servidor web é um software que hospeda e serve páginas da web para usuários através da internet.
Como você hospeda um site?|Você hospeda um site subindo seus arquivos em um servidor web, como Apache ou Nginx.
O que é um domínio?|Um domínio é o endereço de um site na internet, como exemplo.com, que direciona para um servidor web específico.
O que é HTML?|HTML é a linguagem de marcação usada para criar a estrutura básica de páginas da web.
Como você define um título em HTML?|Você define um título usando a tag <title> dentro da seção <head> do documento.
O que é CSS?|CSS é uma linguagem de estilo usada para definir a apresentação visual de páginas web, como cores, fontes e layouts.
Como você aplica uma cor de fundo em CSS?|Usando a propriedade background-color, como em background-color: blue;.
O que é JavaScript?|JavaScript é uma linguagem de programação usada para adicionar interatividade e comportamento dinâmico a páginas web.
Como você cria uma função em JavaScript?|Usando a palavra-chave function, seguida pelo nome da função e um conjunto de parênteses, como function minhaFuncao() {}.
O que é um algoritmo?|Um algoritmo é uma sequência de passos ou instruções para resolver um problema ou realizar uma tarefa.
O que é uma estrutura de dados?|Uma estrutura de dados é uma maneira de organizar e armazenar dados de forma eficiente para operações específicas.
O que é um array?|Um array é uma estrutura de dados que armazena múltiplos valores de um mesmo tipo em uma única variável.
Como você adiciona um elemento a um array em JavaScript?|Usando o método push(), como em meuArray.push('novoElemento').
O que é um sistema operacional?|Um sistema operacional é o software que gerencia o hardware e recursos de um computador, como o Windows, macOS ou Linux.
O que é um compilador?|Um compilador é um programa que traduz código de uma linguagem de programação de alto nível para linguagem de máquina.
O que é um interpretador?|Um interpretador executa o código linha por linha, traduzindo e executando-o diretamente, como acontece com Python.
O que é a internet?|A internet é uma rede global de computadores que permite a troca de informações e a comunicação entre dispositivos.
O que é um protocolo de rede?|Um protocolo de rede é um conjunto de regras que define como os dados são transmitidos e recebidos em uma rede.
O que é o TCP/IP?|TCP/IP é um conjunto de protocolos que definem como os dispositivos se comunicam na internet.
O que é um firewall?|Um firewall é um sistema de segurança que monitora e controla o tráfego de rede baseado em regras de segurança predefinidas.
O que é criptografia?|Criptografia é o processo de codificar informações para protegê-las de acessos não autorizados.
O que é um certificado SSL?|Um certificado SSL é um protocolo de segurança que criptografa dados entre o servidor e o navegador para garantir a privacidade.
O que é uma API?|Uma API (Application Programming Interface) é um conjunto de rotinas e protocolos que permitem a comunicação entre diferentes softwares.
